dataType,function1,snapshot1,function2,snapshot2,euclidean,dtw-python-distance,dtw-python-normalizedDistance,dtaidistance,lcss_similarity,is_normalized,is_smoothed,size1,size2,udf1,udf2
RAM,aggregation,0,filtration-join,0,193.5827471651335,1698.4999999999893,1.5084369449378237,79.0931096872543,0.3410301953818828,1,1,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegativeAndYearAfter2000
CPU,filtration,0,filtration,0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
RAM,filtration,0,filtration,0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
CPU,filtration,0,filtration,5,596.5619749866731,2859.0000000000005,9.404605263157896,288.2278785960858,0.618421052631579,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
RAM,filtration,0,filtration,5,33.73633056513408,146.49999999999957,0.4819078947368407,20.959007610094517,0.8947368421052632,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
CPU,filtration,0,filtration,150,972.0685315346856,2839.0999999999985,8.065624999999995,294.60677181626346,0.6704545454545454,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterStoreSalesWhereProfitNegative
RAM,filtration,0,filtration,150,38.56423213289745,444.9999999999999,1.2642045454545452,30.73548437880881,0.2784090909090909,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterStoreSalesWhereProfitNegative
CPU,filtration,0,aggregation,0,1165.6705151971546,4270.099999999995,3.792273534635875,384.7450324565607,0.7690941385435168,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,avgNetProfitGroupedBySoldDate
RAM,filtration,0,aggregation,0,205.66399782168975,1866.799999999985,1.6579040852575355,84.14796491894536,0.261101243339254,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,avgNetProfitGroupedBySoldDate
CPU,filtration,0,filtration-aggregation,0,1316.9329785528191,4581.1999999999925,3.295827338129491,428.0904810901546,0.7899280575539568,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,avgNetProfitGroupedBySoldDateWhereProfitNegative
RAM,filtration,0,filtration-aggregation,0,277.74077842477504,3006.3000000000216,2.162805755395699,123.60080905884098,0.218705035971223,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,avgNetProfitGroupedBySoldDateWhereProfitNegative
