epoch,CPU,RAM
0.0,0.0,5.8
0.15557289123535156,0.0,5.8
0.3110959529876709,0.0,5.8
0.466655969619751,0.0,5.8
0.6224989891052246,0.0,5.8
0.778278112411499,0.0,5.8
0.9341220855712891,0.0,5.8
1.089885950088501,0.0,5.8
1.2456929683685303,0.0,5.8
1.4014990329742432,0.0,5.8
1.5570459365844727,0.0,5.8
1.7125539779663086,0.0,5.8
1.8681011199951172,0.0,5.8
2.0235729217529297,0.0,5.8
2.1793839931488037,0.0,5.8
2.3354039192199707,0.0,5.8
2.4908299446105957,0.0,5.8
2.646286964416504,0.0,5.8
2.801867961883545,0.0,5.8
2.9576339721679688,0.0,5.8
3.1130831241607666,0.0,5.8
3.2685890197753906,0.0,5.8
3.4244909286499023,13.3,5.8
3.5808188915252686,0.0,5.8
3.7371420860290527,0.0,5.8
3.8940389156341553,0.0,5.8
4.050601005554199,0.0,5.8
4.20632791519165,0.0,5.8
4.361843109130859,0.0,5.8
4.518963098526001,0.0,5.8
4.675687074661255,0.0,5.8
4.831126928329468,0.0,5.8
4.9866719245910645,0.0,5.8
5.143455982208252,0.0,5.8
5.2999351024627686,0.0,5.8
5.456029891967773,0.0,5.8
5.612636089324951,0.0,5.8
5.7691590785980225,0.0,5.8
5.92566704750061,0.0,5.8
6.08184289932251,0.0,5.8
6.238547086715698,6.7,5.8
6.39431095123291,0.0,5.8
6.551156044006348,0.0,5.8
6.707622051239014,0.0,5.8
6.863878965377808,0.0,5.8
7.020049095153809,0.0,5.8
7.175758123397827,0.0,5.8
7.331278085708618,0.0,5.8
7.487154960632324,0.0,5.8
7.643548011779785,0.0,5.8
7.799922943115234,0.0,5.8
7.956650972366333,0.0,5.8
8.113194942474365,0.0,5.8
8.269553899765015,0.0,5.8
8.425750970840454,0.0,5.8
8.582022905349731,0.0,5.8
8.737612009048462,0.0,5.8
8.893197059631348,0.0,5.8
9.048641920089722,0.0,5.8
9.204088926315308,0.0,5.8
9.359592914581299,0.0,5.8
9.515397071838379,0.0,5.8
9.670947074890137,0.0,5.8
9.826456069946289,0.0,5.8
9.981925010681152,0.0,5.8
10.137469053268433,0.0,5.8
10.293081998825073,0.0,5.8
10.448868036270142,0.0,5.8
10.60435700416565,0.0,5.8
10.759793996810913,0.0,5.8
10.915327072143555,0.0,5.8
11.071001052856445,0.0,5.8
11.226955890655518,0.0,5.8
11.382414102554321,0.0,5.8
11.537914037704468,0.0,5.8
11.69338607788086,0.0,5.8
11.84890103340149,0.0,5.8
12.00434398651123,0.0,5.8
12.160208940505981,0.0,5.8
12.31629490852356,0.0,5.8
12.471817970275879,0.0,5.8
12.627288103103638,0.0,5.8
12.782808065414429,0.0,5.8
12.938585042953491,0.0,5.8
13.094095945358276,0.0,5.8
13.24962306022644,0.0,5.8
13.405061960220337,0.0,5.8
13.560522079467773,0.0,5.8
13.715982913970947,0.0,5.8
13.871486902236938,0.0,5.8
14.027004957199097,0.0,5.8
14.182797908782959,0.0,5.8
14.338594913482666,0.0,5.8
14.494065046310425,0.0,5.8
14.649570941925049,0.0,5.8
14.805171966552734,0.0,5.8
14.960628986358643,0.0,5.8
15.116071939468384,0.0,5.8
15.271528959274292,0.0,5.8
15.426969051361084,0.0,5.8
15.582616090774536,0.0,5.8
15.738083124160767,0.0,5.8
15.893605947494507,0.0,5.8
16.0490620136261,0.0,5.8
16.204540967941284,0.0,5.8
16.359983921051025,0.0,5.8
16.515427112579346,0.0,5.8
